Voltage_True (V),Current True (A),Power True (W),Voltage Read (V),Current Read (A),Power Read (W)
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.000,0.032,0.032,0.97,0.03,0.03
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
1.999,0.064,0.129,1.99,0.06,0.12
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.000,0.097,0.291,2.98,0.09,0.28
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
3.999,0.129,0.518,4.0,0.13,0.51
